PhotoID, X, Y, Z, Omega, Phi, Kappa, r11, r12, r13, r21, r22, r23, r31, r32, r33
image_158_leftcam,-0.4556397702956899,-8.2444064523857001,0.4314119972102150,-6.9846481921640953,-1.3452349720606511,10.3249468259927790,0.9835359425388806,0.1807090833336535,0.0011300154276885,-0.1791811874454928,0.9759943602424969,-0.1238107864463451,-0.0234766224099487,0.1215698810378212,0.9923052011476464
image_158_rightcam,0.2611768682955398,-6.6196520345670153,0.3894238777474223,-10.1776827559847170,-8.6653337247469118,8.2306630422417406,0.9784025580552178,0.1672540340556901,0.1214681953562512,-0.1415244894546067,0.9703151343831569,-0.1961105781736652,-0.1506627136209197,0.1746843670140357,0.9730293513791279
image_159_leftcam,-0.5543518402076105,-7.1486487893362245,0.3825255882183113,-11.4638985827751810,-6.5006607574965161,10.0546739109132390,0.9783108988245448,0.1932607175193496,0.0745525338604778,-0.1734653374019762,0.9610696476049011,-0.2150695449676916,-0.1132146720223579,0.1974725994068476,0.9737489463523813
image_159_rightcam,0.1818841468302340,-6.1865147218365619,0.4232453341220718,-5.3471683037270816,-8.0592937843018326,6.9992187108144952,0.9827449269848168,0.1342932423275226,0.1271917196627552,-0.1206523015540581,0.9866365051038712,-0.1095053830920078,-0.1401978267139553,0.0922698859952697,0.9858148089388310
image_160_leftcam,-0.5827741857775264,-6.6051615136867969,0.2558856243438626,-8.6639757036110954,-11.1127254921730800,8.7587124592741645,0.9698069043323034,0.1792316649966510,0.1653801033133148,-0.1494185261255020,0.9726390912250280,-0.1778968866265921,-0.1927399085811684,0.1478147776221313,0.9700526373123486
image_160_rightcam,0.0666626983112793,-5.6564386592510134,0.4528739809456940,-4.9354694602410412,-5.6034366400023599,4.9933865276683553,0.9914444320957603,0.0950866989448585,0.0894229151285348,-0.0866248342144316,0.9917798601090758,-0.0941745569638866,-0.0976425940030145,0.0856225949489493,0.9915314897019514
image_161_leftcam,-0.6769813976244655,-6.0678567803453509,0.3252084531242840,-5.3241796473548026,-9.0171627847787175,6.9205024455571715,0.9804457668944864,0.1344093998012476,0.1437366043280240,-0.1190029657170409,0.9866790183583332,-0.1109180277591749,-0.1567303171987835,0.0916440285916358,0.9833803840296309
image_161_rightcam,-0.1795829205893506,-5.1636438768509976,0.3880413121621631,-4.2630579932164023,-2.0378714462522085,3.8670686893520170,0.9970921872616907,0.0698926236808166,0.0303676020902148,-0.0673991964282345,0.9947845005077788,-0.0765581208645929,-0.0355600678082327,0.0742887522071889,0.9966025601376773
image_162_leftcam,-0.8579746706050473,-5.5088155256122198,0.3331183043699892,-5.3778703879758982,-6.8459225554409704,5.3838266908950363,0.9884902308140835,0.1045368504848784,0.1093577179526998,-0.0931583233563369,0.9901579213538618,-0.1044452850522031,-0.1191997918393997,0.0930555622781461,0.9884999099415953
image_162_rightcam,-0.4868721179511411,-4.3815986539098937,0.2765189547837139,-2.7849387374665673,1.2070373512494805,7.0751097306215325,0.9921653321525179,0.1220092011243340,-0.0268646331760854,-0.1231430480228469,0.9913395407707661,-0.0456257013978915,0.0210652177374614,0.0485764319954496,0.9985973096580347
